,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.25,1.5,1.25,2.0,2.0,1.0,1.0,1.0,1.0,1.25,1.5,2.25,3.0,1.0,1.0,0.75,1.0,0.25,1.5,3.5,3.5,1.0,1.0,0.25,0.5,0.5,1.0,3.25,2.75,1.0,0.5,0.5,1.25,0.75,0.5,2.0,2.25,0.0,0.5,0.75,1.5,1.25,1.25,2.25,1.75,0.75,0.25,1.25,2.0,1.5,1.25,1.5,1.25,1.0,1.5,1.5,1.75,1.75,2.0,1.75,1.25,2.0,1.5,2.0
1,0.5,1.75,1.25,1.75,2.0,1.0,0.25,0.5,0.75,1.0,1.5,2.25,2.75,1.25,1.0,1.25,0.5,0.0,1.0,3.25,3.25,1.25,0.75,1.0,0.25,0.5,1.0,2.75,2.25,0.5,0.25,0.0,0.5,0.0,0.0,2.25,2.75,0.25,0.25,0.25,1.0,0.5,1.5,2.0,1.5,0.5,0.25,1.25,1.75,1.25,1.25,1.5,1.25,1.0,1.0,1.5,1.5,1.25,1.75,1.0,1.25,1.25,1.0,1.75
2,0.75,1.75,1.25,2.25,2.0,1.25,0.5,0.5,0.75,1.25,2.25,2.75,3.5,1.25,1.25,1.25,0.5,1.0,1.5,3.25,3.75,1.5,1.0,1.0,0.5,0.5,1.0,3.25,2.5,0.75,0.0,0.75,1.25,0.5,0.0,2.25,2.5,0.0,0.25,0.5,1.5,0.75,1.75,2.25,1.75,1.25,1.0,1.25,1.5,1.5,1.25,2.25,1.25,1.5,1.25,1.5,2.0,2.25,2.25,1.5,2.0,0.75,1.75,2.0
3,0.75,1.25,1.0,2.0,2.0,1.0,0.25,0.25,1.0,1.25,1.75,2.75,3.0,1.25,1.0,1.25,0.5,0.25,1.0,3.5,3.25,1.0,0.5,0.25,0.5,0.25,0.75,2.75,2.5,0.75,0.25,0.5,0.5,0.0,0.0,2.0,2.25,0.0,0.5,0.0,1.25,1.0,1.25,1.75,1.75,0.75,0.25,1.25,1.25,1.5,1.0,1.5,1.0,1.0,0.75,1.25,1.5,1.75,1.5,1.5,1.25,1.5,1.75,2.0
4,0.5,2.0,1.5,2.0,2.0,1.5,0.75,0.75,0.5,0.5,1.75,2.75,3.25,2.0,1.25,1.5,1.0,0.25,1.5,3.25,3.5,1.25,0.75,0.5,0.5,0.25,0.5,3.25,3.0,0.75,0.5,0.75,1.0,0.25,0.75,2.25,2.75,0.5,0.0,0.75,1.25,1.0,2.0,2.25,1.75,0.75,1.25,1.0,1.75,1.75,1.25,2.0,1.5,1.25,1.25,2.0,2.0,1.5,2.0,2.0,1.25,1.5,1.5,2.0
5,1.0,1.5,0.75,1.5,2.0,1.5,0.5,0.75,1.25,1.0,1.75,2.25,3.25,0.75,1.25,1.0,1.0,0.75,1.0,3.0,3.25,1.25,0.75,1.0,0.25,0.0,0.25,2.75,2.75,0.25,0.5,0.5,1.0,0.0,0.0,2.0,2.25,0.0,0.25,0.0,1.25,1.25,1.25,2.0,1.5,1.0,0.5,0.5,1.25,1.5,1.0,1.5,1.0,0.25,1.25,1.25,2.0,2.0,2.0,1.0,1.25,1.5,1.0,2.0
6,1.5,2.25,1.75,2.0,2.5,1.5,0.5,1.0,1.25,1.25,2.25,3.0,3.5,2.0,1.5,1.75,1.25,0.5,1.5,4.0,4.0,1.5,1.25,1.25,1.0,1.0,1.0,3.75,3.25,1.25,1.0,1.0,1.25,0.75,0.75,2.25,3.25,0.0,1.0,1.0,1.5,1.5,2.0,2.5,2.0,1.5,1.0,1.5,2.0,1.75,2.25,2.0,1.75,1.75,1.25,1.75,2.5,1.75,1.75,1.25,2.0,1.75,2.25,2.75
7,0.75,1.25,0.75,1.5,1.75,1.0,0.0,0.5,1.25,0.5,2.25,2.75,3.0,1.5,1.5,0.75,0.25,0.25,1.25,3.5,3.5,1.25,0.75,1.0,0.5,0.5,1.0,2.75,2.75,0.75,0.25,0.75,0.5,0.5,0.0,2.25,2.5,0.5,0.25,1.0,1.25,1.0,1.25,2.5,1.75,1.25,0.75,1.5,1.5,1.75,1.25,1.5,1.0,1.5,1.0,1.5,2.5,2.0,2.25,1.25,1.25,1.25,1.25,1.5
8,1.25,1.5,1.25,1.5,1.5,1.25,0.25,0.5,1.0,1.0,1.5,2.25,3.0,1.75,1.25,1.0,0.75,0.0,0.75,3.5,3.25,1.5,1.0,1.0,0.5,0.25,0.75,2.75,2.5,0.5,0.5,0.25,1.0,0.25,0.25,2.0,2.0,0.0,0.5,1.0,1.25,1.25,1.5,2.25,1.75,1.75,0.25,1.0,1.25,1.75,1.25,1.5,0.75,1.25,0.75,1.5,1.5,1.0,1.75,1.75,2.0,1.75,1.5,2.0
9,0.75,1.75,1.25,1.25,2.75,1.5,0.0,0.75,0.75,0.5,1.25,2.5,3.75,2.25,1.75,1.25,0.75,0.5,1.25,3.25,4.25,1.75,1.0,1.25,0.75,0.25,1.0,2.25,3.0,0.75,0.5,0.25,0.75,0.5,0.25,2.0,3.0,0.25,0.25,0.25,1.75,1.0,1.5,2.25,2.25,1.25,1.25,1.5,2.0,1.5,1.5,1.75,1.75,1.25,1.25,1.75,1.75,1.5,1.75,2.0,1.25,1.5,1.5,2.0
